"TestName"	"Source"	"TestAbbreviation"	"QuestionNumber"	"Question"	"Format"	"PossibleValues"	"Units"	"StataVariableName"	"Calculated"	"Seattle"	"Portland"	"Cincinnati"	"EmoryFU"	"EmoryBL"	"PennBL"	"UCLABL"	"JHU"	"Notes"
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"4.3"	"Time spent in the off state"	"Nominal Code"	"0: Normal: No OFF time.
1: Slight: = 25% of waking day.
2: Mild: 26 - 50% of waking day.
3: Moderate: 51 - 75% of waking day.
4: Severe: > 75% of waking day."		"mdsprdrs_4_3_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"4.4"	"Functional impact of fluctuations"	"Nominal Code"	"0: Normal: No fluctuations or No impact by fluctuations on performance of activities or
social interactions.
1: Slight: Fluctuations impact on a few activities, but during OFF, the patient usually
performs all activities and participates in all"		"mdsprdrs_4_4_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"4.5"	"Complexity of motor fluctuations"	"Nominal Code"	"0: Normal: No motor fluctuations.
1: Slight: OFF times are predictable all or almost all of the time (> 75%).
2: Mild: OFF times are predictable most of the time (51-75%).
3: Moderate: OFF times are predictable some of the time (26-50%).
4: Sev"		"mdsprdrs_4_5_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"UPDRS Part IV"	"PANUC - updrs_mds_gait"	"updrs_mds"	"4.6"	"Painful off-state dystonia"	"Nominal Code"	"0: Normal: No dystonia OR NO OFF TIME.
1: Slight: < 25% of time in OFF state.
2: Mild: 26-50% of time in OFF state.
3: Moderate: 51-75% of time in OFF state.
4: Severe: > 75% of time in OFF state."		"mdsprdrs_4_6_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"1"	"Serious medical condition?"	"Numeric"	"0=no,1=yes"		"tms_condtn"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"1explain"	"Ser med cndtn explain"	"String"			"tms_condtn_ex"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"2"	"Ever had a seizure?"	"Numeric"	"0=no,1=yes"		"tms_seizure"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"3"	"Anyone in family had epilepsy or seizures?"	"Numeric"	"0=no,1=yes"		"tms_seizure_fam"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"3explain"	"Epilepsy/seizure explain"	"String"			"tms_seizure_fam_ex"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"4"	"Active depression in past 6 mo?"	"Numeric"	"0=no,1=yes"		"tms_depress"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"5"	"Attention deficit or learning disorder?"	"Numeric"	"0=no,1=yes"		"tms_attdef"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"6"	"Eleptogenic meds?"	"Numeric"	"0=no,1=yes"		"tms_eleptomed"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"7"	"Ever had a neurologic disorder?"	"Numeric"	"0=no,1=yes"		"tms_neurodis"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"7explain"	"Neurologic explain"	"String"			"tms_neurodis_ex"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"7a"	"Ever had serious head trauma?"	"Numeric"	"0=no,1=yes"		"tms_head"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"7b"	"Ever have a stroke?"	"Numeric"	"0=no,1=yes"		"tms_stroke"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"7c"	"Ever any brain surgery?"	"Numeric"	"0=no,1=yes"		"tms_brain"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"8"	"Migraine or headaches?"	"Numeric"	"0=no,1=yes"		"tms_migraine"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"9"	"Metal head implants?"	"Numeric"	"0=no,1=yes"		"tms_implants"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"10"	"Perm eye liner or tattoos above neck?"	"Numeric"	"0=no,1=yes"		"tms_tattoos"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"11"	"Pacemaker or med devices?"	"Numeric"	"0=no,1=yes"		"tms_pace"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"12"	"Pregnant?"	"Numeric"	"0=no,1=yes"		"tms_pregnant"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"13"	"High BP no meds?"	"Numeric"	"0=no,1=yes"		"tms_bp"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"13a"	"BP med changed past 6 mo?"	"Numeric"	"0=no,1=yes"		"tms_bpchg"			"yes"							
"TMS Screen"	"PANUC - tms_screen"	"tms_screen"	"14"	"Hearing loss or impairments?"	"Numeric"	"0=no,1=yes"		"tms_hear"			"yes"							
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Test administrator"	"String"			"sai_test_admin_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Site"	"String"			"sai_site_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Notes"	"String"			"sai_notes_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Resting median nerve stimulation ampli"	"Numeric"			"sai_rsa_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Resting motor threshold"	"Numeric"			"sai_rmt_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Unconditioned MEP"	"Numeric"			"sai_umep_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Conditioned MEP N20"	"Numeric"			"sai_cn20_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Conditioned MEP N20 + 1ms"	"Numeric"			"sai_cn20p1_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Conditioned MEP N20 + 2ms"	"Numeric"			"sai_cn20p2_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Conditioned MEP N20 + 3ms"	"Numeric"			"sai_cn20p3_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Conditioned MEP N20 + 4ms"	"Numeric"			"sai_cn20p4_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"TMS SAI"	"PANUC - tms_sai"	"tms_sai"		"Conditioned MEP N20 + 5ms"	"Numeric"			"sai_cn20p5_m0"		"yes"	"yes"							"suffix=(m0=meds:off;m1=meds:on;m2=meds:not taking)"
"Genotypes"	"Genotypes folder"	"GBAStatus"		"GBAStatus"		"""E326K Carrier"";""E326K and Pathogenic Carrier"";""Failed"";""Inadequate or No DNA Sample"";""Incomplete"";""Non-Carrier"";""Not Screened"";""Pathogenic Carrier""	""	""GBAStatus"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"			
"Genotypes"	"Genotypes folder"	"GBA_T369M"		"GBA_T369M"				"GBA_T369M"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"	
"Genotypes"	"Genotypes folder"	"SNCA_rs356219"		"SNCA_rs356219"		"CC,TT"		"SNCA_rs356219"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"	
"Genotypes"	"Genotypes folder"	"MAPT_rs1800547"		"MAPT_rs1800547"		"AA,GA,GG"		"MAPT_rs1800547"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"	
"Genotypes"	"Genotypes folder"	"LRRK2_G2019S"		"LRRK2_G2019S"		"AA,GA,GG"		"LRRK2_G2019S"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"	
"Genotypes"	"Genotypes folder"	"LRRK2_R1441CGS"		"LRRK2_R1441CGS"		"CA,CC,CT"		"LRRK2_R1441CGS"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"	
"Genotypes"	"Genotypes folder"	"LRRK2_R1441H"		"LRRK2_R1441H"		"GA,GG"		"LRRK2_R1441H"		"yes"	"yes"	"yes"	"yes"		"yes"	"yes"	"yes"	
